epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1515.72,1.57407,0.71333,0.00395,0.85748,0.88437,0.92256,0.53809,1.53915,0.61983,0.00464,0.0004358,0.0004358,0.0004358
81,1534,1.58737,0.72264,0.00391,0.87431,0.87802,0.93123,0.52982,1.55584,0.63107,0.00474,0.000416,0.000416,0.000416
82,1552.4,1.59617,0.74839,0.00409,0.89639,0.87944,0.93544,0.53717,1.53919,0.60944,0.00461,0.0003962,0.0003962,0.0003962
83,1571.46,1.56741,0.73528,0.00396,0.86788,0.88437,0.92847,0.52918,1.55506,0.63311,0.00473,0.0003764,0.0003764,0.0003764
84,1589.89,1.55518,0.70107,0.00389,0.87791,0.88437,0.93048,0.53404,1.54581,0.60019,0.00464,0.0003566,0.0003566,0.0003566
85,1609.09,1.57177,0.72472,0.00396,0.87522,0.87929,0.92789,0.53078,1.56492,0.61215,0.00472,0.0003368,0.0003368,0.0003368
86,1627.35,1.53138,0.72003,0.00393,0.8754,0.88437,0.93081,0.5366,1.54847,0.62063,0.00462,0.000317,0.000317,0.000317
87,1645.92,1.57992,0.72889,0.00401,0.87007,0.88818,0.9281,0.52823,1.56065,0.6102,0.00468,0.0002972,0.0002972,0.0002972
88,1664.25,1.57093,0.71954,0.00398,0.88978,0.85515,0.93071,0.53962,1.54006,0.60974,0.00466,0.0002774,0.0002774,0.0002774
89,1683.06,1.54244,0.69415,0.00396,0.86852,0.8831,0.93316,0.53504,1.5424,0.60273,0.00461,0.0002576,0.0002576,0.0002576
90,1701.59,1.56656,0.70743,0.00395,0.87385,0.89199,0.93413,0.53084,1.56017,0.59612,0.00467,0.0002378,0.0002378,0.0002378
91,1732.39,1.51539,0.65692,0.00438,0.86097,0.88916,0.92957,0.52947,1.56581,0.61127,0.00475,0.000218,0.000218,0.000218
92,1749.93,1.48402,0.63498,0.00429,0.86755,0.89056,0.93415,0.53288,1.55193,0.60716,0.00465,0.0001982,0.0001982,0.0001982
93,1767.37,1.49192,0.62619,0.00437,0.87237,0.88588,0.93244,0.53006,1.55842,0.60469,0.00466,0.0001784,0.0001784,0.0001784
94,1785.37,1.48678,0.60639,0.00429,0.89213,0.87227,0.93078,0.53172,1.55633,0.60545,0.00468,0.0001586,0.0001586,0.0001586
95,1802.81,1.47843,0.59978,0.00431,0.88056,0.86912,0.93,0.53851,1.54353,0.60264,0.00464,0.0001388,0.0001388,0.0001388
96,1821.95,1.47769,0.61945,0.00439,0.88051,0.87078,0.93011,0.53947,1.53697,0.59544,0.00459,0.000119,0.000119,0.000119
97,1839.39,1.48115,0.61639,0.00425,0.87664,0.89072,0.9341,0.53971,1.54227,0.59476,0.00462,9.92e-05,9.92e-05,9.92e-05
98,1858.07,1.47845,0.62389,0.00436,0.88303,0.88564,0.93299,0.53766,1.54661,0.58907,0.00463,7.94e-05,7.94e-05,7.94e-05
99,1875.93,1.46709,0.58698,0.00423,0.88254,0.88437,0.93577,0.53661,1.55136,0.59126,0.00463,5.96e-05,5.96e-05,5.96e-05
100,1894.68,1.4652,0.60737,0.00431,0.88225,0.88437,0.93499,0.53806,1.54876,0.59176,0.00463,3.98e-05,3.98e-05,3.98e-05
